Year;hole id ;type;X ;Y ;Groud Height distance (m);depth (m);Opening date;Final date 
2018;NSGC01;Engineering geological drilling;2519305;19752788;3.5;58.75;31/07/2018;01/08/2018
2018;NSGC03;Engineering geological drilling;2517234;19755621;2.8;200.71;09/07/2018;11/07/2018
2018;NSGC05;Engineering geological drilling;2515928;19758005;3.0;37.75;23/07/2018;23/07/2018
2018;NSGC07;Engineering geological drilling;2513355;19758011;3.5;65.10;21/07/2018;23/07/2018
2018;NSGC08;Engineering geological drilling;2513910;19761435;2.2;53.50;25/07/2018;26/07/2018
2018;NSGC09;Engineering geological drilling;2511105;19761451;7.5;53.89;20/07/2018;21/07/2018
2018;NSGC11;Engineering geological drilling;2509824;19764822;1.5;52.33;18/07/2018;20/07/2018
2018;NSGC15;Engineering geological drilling;2518039;19760412;1.5;53.20;25/07/2018;26/07/2018
2018;NSGC17;Engineering geological drilling;2519401;19755809;3.8;68.40;28/07/2018;29/07/2018
2018;NSGC20;Engineering geological drilling;2522416;19755267;3.5;52.85;29/07/2018;30/07/2018
2018;NSGC25;Engineering geological drilling;2522589;19759356;3.0;200.28;01/07/2018;23/07/2018
2018;NSGC26;Engineering geological drilling;2523786;19757129;2.7;20.80;13/07/2018;14/07/2018
2018;NSGC27;Engineering geological drilling;2525076;19755079;5.0;74.42;09/07/2018;11/07/2018
2018;NSGC29;Engineering geological drilling;2525279;19760147;8.0;38.00;16/07/2018;17/07/2018
2018;NSGC31;Engineering geological drilling;2523828;19765276;4.5;27.20;13/07/2018;14/07/2018
2018;NSGC33;Engineering geological drilling;2519096;19765844;6.0;40.00;09/07/2018;11/07/2018
2018;NSGC34;Engineering geological drilling;2518515;19764629;8.5;57.12;01/07/2018;04/07/2018
2018;NSGC35;Engineering geological drilling;2518608;19767178;8.0;54.00;06/07/2018;08/07/2018
2018;NSGC38;Engineering geological drilling;2515993;19770577;1.5;47.85;18/07/2018;19/07/2018
2018;NSGC39;Engineering geological drilling;2512798;19768708;0.9;46.05;16/07/2018;16/07/2018
2018;NSSW04;Hydrogeological drilling;2521653;19761442;1.0;62.00;17/08/2018;18/08/2018
2018;NSSW01;Hydrogeological drilling;2520423;19757171;6.8;41.38;18/08/2018;19/08/2018
2018;NSSW03;Hydrogeological drilling;2517195;19760985;0.5;66.11;01/08/2018;01/08/2018
2018;NSSW02;Hydrogeological drilling;2512031;19766182;2.5;52.53;03/08/2018;04/08/2018
2019;19NSGC01;Engineering geological drilling;2529245;19741744;2.00;80.50;23/07/2019;30/07/2019
2019;19NSGC02;Engineering geological drilling;2554851;19757179;7.00;201.75;24/07/2019;05/08/2019
2019;19NSGC03;Engineering geological drilling;2531697;19744524;3.00;200.75;07/07/2019;21/07/2019
2019;19NSGC04;Engineering geological drilling;2535401;19745869;7.00;70.40;18/07/2019;23/07/2019
2019;19NSGC05;Engineering geological drilling;2535946;19751080;5.00;70.05;17/07/2019;24/07/2019
2019;19NSGC06;Engineering geological drilling;2531109;19748864;1.00;80.30;08/07/2019;15/07/2019
2019;19NSGC07;Engineering geological drilling;2528145;19747363;5.00;71.45;17/07/2019;21/07/2019
2019;19NSGC08;Engineering geological drilling;2587894;19773509;4.00;57.70;03/07/2019;06/07/2019
2019;19NSGC09;Engineering geological drilling;2524139;19744186;4.00;50.20;29/06/2019;01/07/2019
2019;19NSGC10;Engineering geological drilling;2574748;19778704;3.00;70.20;30/06/2019;04/07/2019
2019;19NSGC11;Engineering geological drilling;2521585;19751744;5.00;200.65;09/07/2019;24/07/2019
2019;19NSGC12;Engineering geological drilling;2524764;19752971;3.00;80.60;06/07/2019;11/07/2019
2019;19NSGC13;Engineering geological drilling;2529410;19753806;3.00;70.10;13/07/2019;16/07/2019
2019;19NSGC14;Engineering geological drilling;2531312;19755113;10.00;80.10;24/07/2019;29/07/2019
2019;19NSGC15;Engineering geological drilling;2530615;19759059;4.00;80.92;18/06/2019;22/06/2019
2019;19NSGC16;Engineering geological drilling;2530504;19761757;3.00;101.00;05/06/2019;15/06/2019
2019;19NSGC17;Engineering geological drilling;2527627;19759741;6.00;60.20;23/06/2019;29/06/2019
2019;19NSGC18;Engineering geological drilling;2525794;19759781;1.80;70.40;13/07/2019;17/07/2019
2019;19NSGC19;Engineering geological drilling;2526549;19762754;5.00 ;61.00 ;05/07/2019;10/07/2019
2019;19NSGC20;Engineering geological drilling;2524470;19764561;12.00 ;72.00 ;26/06/2019;03/07/2019
2019;19NSGC21;Engineering geological drilling;2520120;19758029;0.10 ;79.30 ;21/06/2019;27/06/2019
2019;19NSGC22;Engineering geological drilling;2516738;19762134;3.00 ;200.35 ;14/06/2019;04/07/2019
2019;19NSGC23;Engineering geological drilling;2512197;19763082;6.00 ;203.15 ;20/06/2019;05/07/2019
2019;19NSGC24;Engineering geological drilling;2514730;19769133;4.00 ;200.20 ;01/06/2019;18/06/2019
2019;19NSGC25;Engineering geological drilling;2507209;19762010;5.00 ;73.20 ;14/06/2019;19/06/2019
2019;19NSGC26;Engineering geological drilling;2509281;19767256;3.00 ;80.90 ;01/06/2019;06/06/2019
2019;19NSGC27;Engineering geological drilling;2509182;19768890;3.00 ;71.10 ;07/06/2019;11/06/2019
2019;19NSGC28;Engineering geological drilling;2509090;19774080;6.00 ;200.20 ;22/06/2019;09/07/2019
2019;19NSGC29;Engineering geological drilling;2505618;19768978;2.00 ;80.20 ;01/06/2019;06/06/2019
2019;19NSGC30;Engineering geological drilling;2502383;19768810;2.00 ;80.30 ;17/06/2019;23/06/2019
2019;19NSGC31;Engineering geological drilling;2502730;19771757;4.00 ;181.40 ;01/06/2019;17/06/2019
2019;19NSGC32;Engineering geological drilling;2499111;19770585;5.00 ;91.00 ;07/06/2019;15/06/2019
2019;19NSSW01;Hydrogeological drilling;2509081;19774075;6.00;200.14;13/07/2019;08/08/2019
